MORE-FOR-YOU,NUTRITIONAL FACTS,
Cafe con Leche,"170 calories, 9g fat, 9g carbs, 15g protein",
Protein Donuts,"each: 136 calories, 10g fat, 10g carbs, 3g fiber,7g protein",
Protein Cake Pops,"each: 42 calories, 1g fat, 5g carbs, 5g protein",
Protein Churros,"272 calories, 9g fat, 18g carbs, 3g fiber, 30g protein",
Acai Bowl,"307 calories, 7g fat, 39g carbs, 7g fiber, 25g protein ",
Monkey Bowl,"365 calories, 6g fat, 58g carbs, 15g fiber, 30g protein ",
Tropical Fusion Bowl,"305 calories, 4g fat, 48g carbs, 11g fiber, 25g protein",
Lava Shake,"245 calories, 5g fat, 29g carbs, 25g protein",
Protein Waffles,"413 calories, 11g fat, 45g carbs, 8g fiber, 35g protein",
Horchata,"270 calories, 10g fat, 23g carbs, 24g protein",
